"id","citizen_id","status","opened_at"
"105","105","UNDER_INVESTIGATION","2/23/2019 11:26:29 PM"
"106","106","OPEN","10/2/2020 12:26:29 AM"
"107","107","CLOSED","11/10/2025 10:26:29 PM"
"108","108","UNDER_INVESTIGATION","6/25/2019 12:26:29 AM"
"109","109","OPEN","1/5/2023 7:26:29 PM"
"110","110","CLOSED","2/28/2017 8:26:29 PM"
"111","111","UNDER_INVESTIGATION","5/3/2017 9:26:29 PM"
"112","112","OPEN","6/27/2022 9:26:29 PM"
"113","113","CLOSED","8/31/2025 2:26:29 PM"
"114","114","UNDER_INVESTIGATION","7/9/2025 5:26:29 PM"
"115","115","OPEN","1/4/2018 5:26:29 PM"
"116","116","CLOSED","2/26/2022 7:26:29 PM"
"117","117","UNDER_INVESTIGATION","7/23/2017 1:26:29 AM"
"118","118","OPEN","10/4/2016 5:26:29 PM"
"119","119","CLOSED","11/21/2016 1:26:29 PM"
"120","120","UNDER_INVESTIGATION","10/29/2017 10:26:29 PM"
"121","121","OPEN","11/25/2016 11:26:29 AM"
"122","122","CLOSED","8/27/2019 4:26:29 PM"
"123","123","UNDER_INVESTIGATION","11/28/2017 7:26:29 AM"
"124","124","OPEN","7/10/2025 4:26:29 AM"
"125","125","CLOSED","10/1/2025 2:26:29 PM"
"126","126","UNDER_INVESTIGATION","12/21/2019 12:26:29 PM"
"127","127","OPEN","10/13/2022 7:26:29 AM"
"128","128","CLOSED","7/25/2024 10:26:29 PM"
"129","129","UNDER_INVESTIGATION","2/24/2019 3:26:29 PM"
"130","130","OPEN","7/8/2019 5:26:29 PM"
"131","131","CLOSED","8/8/2017 5:26:29 PM"
"132","132","UNDER_INVESTIGATION","12/21/2025 12:26:29 AM"
"133","133","OPEN","4/25/2017 9:26:29 AM"
"134","134","CLOSED","4/10/2019 12:26:29 PM"
"135","135","UNDER_INVESTIGATION","12/22/2025 10:26:29 PM"
"136","136","OPEN","9/12/2020 11:26:29 PM"
"137","137","CLOSED","9/24/2025 3:26:29 AM"
"138","138","UNDER_INVESTIGATION","6/15/2020 2:26:29 PM"
"139","139","OPEN","2/28/2022 12:26:29 AM"
"140","140","CLOSED","8/3/2018 2:26:29 PM"
"141","141","UNDER_INVESTIGATION","4/17/2022 6:26:29 PM"
"142","142","OPEN","11/18/2020 2:26:29 PM"
"143","143","CLOSED","11/6/2022 6:26:29 AM"
"144","144","UNDER_INVESTIGATION","8/10/2019 2:26:29 AM"
"145","145","OPEN","1/2/2024 1:26:29 PM"
"146","146","CLOSED","4/13/2026 6:26:29 AM"
"147","147","UNDER_INVESTIGATION","10/17/2019 4:26:29 AM"
"148","148","OPEN","3/26/2024 12:26:29 AM"
"149","149","CLOSED","10/10/2017 11:26:29 PM"
"150","150","UNDER_INVESTIGATION","4/7/2022 1:26:29 PM"
"151","151","OPEN","9/23/2019 6:26:29 AM"
"152","152","CLOSED","8/28/2024 11:26:29 PM"
"153","153","UNDER_INVESTIGATION","10/20/2016 2:26:29 AM"
"154","154","OPEN","11/6/2023 6:26:29 AM"
"155","155","CLOSED","7/26/2017 7:26:29 PM"
"156","156","UNDER_INVESTIGATION","10/28/2018 12:26:29 AM"
"157","157","OPEN","6/27/2024 12:26:29 AM"
"158","158","CLOSED","9/21/2018 10:26:29 AM"
"159","159","UNDER_INVESTIGATION","9/29/2024 1:26:29 AM"
"160","160","OPEN","7/3/2020 7:26:29 AM"
"161","161","CLOSED","3/28/2025 10:26:29 PM"
"162","162","UNDER_INVESTIGATION","10/25/2020 4:26:29 AM"
"163","163","OPEN","6/15/2026 10:26:29 AM"
"164","164","CLOSED","12/3/2022 5:26:29 PM"
"165","165","UNDER_INVESTIGATION","6/7/2018 11:26:29 AM"
"166","166","OPEN","1/10/2020 4:26:29 AM"
"167","167","CLOSED","8/16/2019 8:26:29 AM"
"168","168","UNDER_INVESTIGATION","7/26/2016 9:26:29 AM"
"169","169","OPEN","8/1/2019 5:26:29 AM"
"170","170","CLOSED","1/13/2021 4:26:29 AM"
"171","171","UNDER_INVESTIGATION","4/28/2018 8:26:29 AM"
"172","172","OPEN","8/8/2016 6:26:29 AM"
"173","173","CLOSED","9/29/2021 3:26:29 AM"
"174","174","UNDER_INVESTIGATION","12/6/2021 7:26:29 AM"
"175","175","OPEN","12/4/2025 7:26:29 AM"
"176","176","CLOSED","11/9/2016 4:26:29 AM"
"177","177","UNDER_INVESTIGATION","12/21/2025 2:26:29 AM"
"178","178","OPEN","9/26/2024 8:26:29 PM"
"179","179","CLOSED","4/14/2017 5:26:29 PM"
"180","180","UNDER_INVESTIGATION","10/23/2021 7:26:29 PM"
"181","181","OPEN","10/10/2024 6:26:29 AM"
"182","182","CLOSED","5/21/2017 5:26:29 PM"
"183","183","UNDER_INVESTIGATION","1/26/2023 11:26:29 AM"
"184","184","OPEN","4/10/2017 7:26:29 PM"
"185","185","CLOSED","12/22/2023 8:26:29 AM"
"186","186","UNDER_INVESTIGATION","9/19/2024 8:26:29 AM"
"187","187","OPEN","4/19/2018 11:26:29 AM"
"188","188","CLOSED","7/8/2022 3:26:29 PM"
"189","189","UNDER_INVESTIGATION","6/23/2018 6:26:29 PM"
"190","190","OPEN","4/21/2025 3:26:29 PM"
"191","191","CLOSED","7/2/2018 1:26:29 AM"
"192","192","UNDER_INVESTIGATION","4/24/2019 8:26:29 PM"
"193","193","OPEN","8/12/2020 6:26:29 PM"
"194","194","CLOSED","2/19/2021 10:26:29 AM"
"195","195","UNDER_INVESTIGATION","10/25/2021 1:26:29 PM"
"196","196","OPEN","6/28/2026 7:26:29 PM"
"197","197","CLOSED","8/1/2020 7:26:29 AM"
"198","198","UNDER_INVESTIGATION","11/2/2024 5:26:29 AM"
"199","199","OPEN","9/30/2021 3:26:29 PM"
"200","200","CLOSED","11/12/2024 5:26:29 PM"
"201","201","UNDER_INVESTIGATION","1/26/2024 12:26:29 AM"
"202","202","OPEN","12/31/2019 8:26:29 PM"
"203","203","CLOSED","9/9/2017 6:26:29 PM"
"204","204","UNDER_INVESTIGATION","12/1/2016 7:26:29 AM"
"205","205","OPEN","11/16/2022 6:26:29 AM"
"206","206","CLOSED","4/16/2023 3:26:29 AM"
"207","207","UNDER_INVESTIGATION","8/16/2022 12:26:29 AM"
"208","208","OPEN","12/31/2016 3:26:29 PM"
"209","209","CLOSED","8/27/2025 11:26:29 PM"
"210","210","UNDER_INVESTIGATION","7/28/2024 1:26:29 PM"
"211","211","OPEN","5/11/2023 1:26:29 PM"
"212","212","CLOSED","9/15/2019 3:26:29 AM"
"213","213","UNDER_INVESTIGATION","12/23/2021 5:26:29 PM"
"214","214","OPEN","6/2/2026 5:26:29 PM"
"215","215","CLOSED","11/16/2019 7:26:29 AM"
"216","216","UNDER_INVESTIGATION","12/6/2024 10:26:29 AM"
"217","217","OPEN","7/10/2025 5:26:29 PM"
"218","218","CLOSED","3/24/2023 4:26:29 PM"
"219","219","UNDER_INVESTIGATION","11/22/2018 5:26:29 PM"
"220","220","OPEN","1/5/2022 2:26:29 AM"
"221","221","CLOSED","4/17/2018 9:26:29 PM"
"222","222","UNDER_INVESTIGATION","7/14/2018 8:26:29 PM"
"223","223","OPEN","8/4/2016 7:26:29 AM"
"224","224","CLOSED","1/14/2024 5:26:29 AM"
"225","225","UNDER_INVESTIGATION","3/7/2021 12:26:29 AM"
"226","226","OPEN","5/15/2019 4:26:29 AM"
"227","227","CLOSED","10/14/2022 8:26:29 AM"
"228","228","UNDER_INVESTIGATION","6/14/2022 12:26:29 AM"
"229","229","OPEN","10/18/2021 5:26:29 PM"
"230","230","CLOSED","10/15/2024 5:26:29 AM"
"231","231","UNDER_INVESTIGATION","8/1/2022 12:26:29 PM"
"232","232","OPEN","12/2/2025 2:26:29 PM"
"233","233","CLOSED","5/14/2019 4:26:29 AM"
"234","234","UNDER_INVESTIGATION","9/20/2024 12:26:29 PM"
"235","235","OPEN","3/7/2021 12:26:29 PM"
"236","236","CLOSED","2/1/2019 12:26:29 PM"
"237","237","UNDER_INVESTIGATION","5/6/2025 8:26:29 AM"
"238","238","OPEN","12/15/2020 11:26:29 PM"
"239","239","CLOSED","7/13/2017 10:26:29 PM"
"240","240","UNDER_INVESTIGATION","7/6/2020 11:26:29 PM"
"241","241","OPEN","12/31/2021 10:26:29 AM"
"242","242","CLOSED","1/4/2020 8:26:29 AM"
"243","243","UNDER_INVESTIGATION","9/15/2023 9:26:29 AM"
"244","244","OPEN","6/2/2020 5:26:29 PM"
"245","245","CLOSED","2/10/2023 7:26:29 PM"
"246","246","UNDER_INVESTIGATION","10/27/2019 10:26:29 AM"
"247","247","OPEN","4/26/2023 8:26:29 PM"
"248","248","CLOSED","11/21/2016 6:26:29 PM"
"249","249","UNDER_INVESTIGATION","10/31/2021 4:26:29 AM"
"250","250","OPEN","2/12/2023 5:26:29 PM"
"251","251","CLOSED","10/25/2024 12:26:29 PM"
"252","252","UNDER_INVESTIGATION","2/24/2023 11:26:29 AM"
"253","253","OPEN","2/13/2024 2:26:29 AM"
"254","254","CLOSED","4/24/2019 6:26:29 PM"
"255","255","UNDER_INVESTIGATION","11/6/2021 6:26:29 PM"
"256","256","OPEN","7/12/2018 7:26:29 AM"
"257","257","CLOSED","7/26/2024 7:26:29 AM"
"258","258","UNDER_INVESTIGATION","9/3/2017 10:26:29 AM"
"259","259","OPEN","6/10/2024 11:26:29 PM"
"260","260","CLOSED","6/8/2023 2:26:29 AM"
"261","261","UNDER_INVESTIGATION","9/17/2025 3:26:29 AM"
"262","262","OPEN","9/12/2017 10:26:29 AM"
"263","263","CLOSED","6/27/2018 2:26:29 AM"
"264","264","UNDER_INVESTIGATION","7/7/2024 6:26:29 AM"
"265","265","OPEN","4/15/2023 9:26:29 PM"
"266","266","CLOSED","1/9/2025 7:26:29 AM"
"267","267","UNDER_INVESTIGATION","11/28/2025 12:26:29 AM"
"268","268","OPEN","10/12/2022 6:26:29 PM"
"269","269","CLOSED","2/18/2017 6:26:29 PM"
"270","270","UNDER_INVESTIGATION","4/12/2023 8:26:29 PM"
"271","271","OPEN","11/10/2021 2:26:29 PM"
"272","272","CLOSED","2/5/2021 10:26:29 PM"
"273","273","UNDER_INVESTIGATION","12/18/2023 5:26:29 AM"
"274","274","OPEN","4/5/2024 12:26:29 PM"
"275","275","CLOSED","7/11/2020 12:26:29 PM"
"276","276","UNDER_INVESTIGATION","9/30/2019 12:26:29 AM"
"277","277","OPEN","2/27/2023 10:26:29 AM"
"278","278","CLOSED","3/4/2023 5:26:29 PM"
"279","279","UNDER_INVESTIGATION","7/31/2021 9:26:29 PM"
"280","280","OPEN","9/16/2020 7:26:29 AM"
"281","281","CLOSED","6/11/2026 10:26:29 AM"
"282","282","UNDER_INVESTIGATION","12/30/2020 12:26:29 PM"
"283","283","OPEN","9/17/2018 12:26:29 AM"
"284","284","CLOSED","3/1/2020 3:26:29 AM"
"285","285","UNDER_INVESTIGATION","5/20/2019 11:26:29 PM"
"286","286","OPEN","11/10/2024 2:26:29 AM"
"287","287","CLOSED","5/26/2018 7:26:29 PM"
"288","288","UNDER_INVESTIGATION","10/2/2016 6:26:29 AM"
"289","289","OPEN","5/5/2020 7:26:29 PM"
"290","290","CLOSED","4/18/2024 4:26:29 PM"
"291","291","UNDER_INVESTIGATION","6/2/2026 8:26:29 AM"
"292","292","OPEN","7/7/2019 6:26:29 PM"
"293","293","CLOSED","1/10/2017 10:26:29 AM"
"294","294","UNDER_INVESTIGATION","2/3/2026 11:26:29 AM"
"295","295","OPEN","4/26/2019 8:26:29 PM"
"296","296","CLOSED","7/8/2021 2:26:29 PM"
"297","297","UNDER_INVESTIGATION","7/19/2023 10:26:29 PM"
"298","298","OPEN","8/14/2021 9:26:29 AM"
"299","299","CLOSED","7/23/2020 9:26:29 PM"
"300","300","UNDER_INVESTIGATION","2/15/2017 4:26:29 AM"
"301","301","OPEN","12/26/2019 8:26:29 PM"
"302","302","CLOSED","5/28/2025 1:26:29 AM"
"303","303","UNDER_INVESTIGATION","10/1/2022 9:26:29 AM"
"304","304","OPEN","8/1/2021 2:26:29 PM"
"305","305","CLOSED","11/18/2023 10:26:29 PM"
"306","306","UNDER_INVESTIGATION","8/1/2018 7:26:29 AM"
"307","307","OPEN","11/19/2018 4:26:29 PM"
"308","308","CLOSED","6/16/2023 10:26:29 AM"
"309","309","UNDER_INVESTIGATION","3/22/2021 10:26:29 PM"
"310","310","OPEN","4/10/2019 1:26:29 AM"
"311","311","CLOSED","9/2/2018 3:26:29 AM"
"312","312","UNDER_INVESTIGATION","1/4/2020 5:26:29 AM"
"313","313","OPEN","9/3/2020 5:26:29 PM"
"314","314","CLOSED","8/23/2024 10:26:29 PM"
"315","315","UNDER_INVESTIGATION","11/13/2017 7:26:29 AM"
"316","316","OPEN","9/19/2025 12:26:29 PM"
"317","317","CLOSED","5/24/2020 1:26:29 AM"
"318","318","UNDER_INVESTIGATION","5/1/2017 3:26:29 AM"
"319","319","OPEN","1/17/2019 3:26:29 AM"
"320","320","CLOSED","5/4/2023 5:26:29 AM"
"321","321","UNDER_INVESTIGATION","11/25/2022 3:26:29 PM"
"322","322","OPEN","10/7/2023 2:26:29 AM"
"323","323","CLOSED","10/24/2020 1:26:29 AM"
"324","324","UNDER_INVESTIGATION","4/18/2019 10:26:29 AM"
"325","325","OPEN","6/8/2024 1:26:29 AM"
"326","326","CLOSED","9/24/2025 12:26:29 PM"
"327","327","UNDER_INVESTIGATION","3/9/2018 11:26:29 AM"
"328","328","OPEN","12/12/2024 7:26:29 AM"
"329","329","CLOSED","5/1/2026 9:26:29 PM"
"330","330","UNDER_INVESTIGATION","3/13/2026 4:26:29 PM"
"331","331","OPEN","1/21/2018 4:26:29 PM"
"332","332","CLOSED","5/30/2020 8:26:29 AM"
"333","333","UNDER_INVESTIGATION","5/8/2024 9:26:29 AM"
"334","334","OPEN","10/11/2025 9:26:29 PM"
"335","335","CLOSED","9/27/2025 4:26:29 AM"
"336","336","UNDER_INVESTIGATION","7/10/2022 1:26:29 AM"
"337","337","OPEN","3/5/2023 6:26:29 PM"
"338","338","CLOSED","4/5/2025 5:26:29 PM"
"339","339","UNDER_INVESTIGATION","5/9/2025 12:26:29 PM"
"340","340","OPEN","6/2/2021 8:26:29 PM"
"341","341","CLOSED","10/8/2021 10:26:29 AM"
"342","342","UNDER_INVESTIGATION","5/10/2023 6:26:29 PM"
"343","343","OPEN","12/8/2024 1:26:29 AM"
"344","344","CLOSED","8/24/2019 7:26:29 PM"
"345","345","UNDER_INVESTIGATION","2/11/2026 10:26:29 PM"
"346","346","OPEN","7/27/2020 9:26:29 AM"
"347","347","CLOSED","9/4/2023 1:26:29 PM"
"348","348","UNDER_INVESTIGATION","1/11/2017 5:26:29 AM"
"349","349","OPEN","12/13/2017 8:26:29 AM"
"350","350","CLOSED","12/11/2019 10:26:29 PM"
"351","351","UNDER_INVESTIGATION","7/16/2020 1:26:29 PM"
"352","352","OPEN","12/9/2021 11:26:29 AM"
"353","353","CLOSED","6/3/2018 2:26:29 PM"
"354","354","UNDER_INVESTIGATION","6/2/2018 12:26:29 AM"
"355","355","OPEN","12/13/2024 5:26:29 AM"
"356","356","CLOSED","11/14/2025 8:26:29 PM"
"357","357","UNDER_INVESTIGATION","9/3/2022 11:26:29 AM"
"358","358","OPEN","11/11/2024 11:26:29 PM"
"359","359","CLOSED","7/6/2020 9:26:29 AM"
"360","360","UNDER_INVESTIGATION","9/28/2017 3:26:29 PM"
"361","361","OPEN","12/22/2019 12:26:29 PM"
"362","362","CLOSED","12/9/2017 5:26:29 PM"
"363","363","UNDER_INVESTIGATION","3/4/2019 5:26:29 PM"
"364","364","OPEN","3/13/2021 1:26:29 PM"
"365","365","CLOSED","7/2/2021 5:26:29 PM"
"366","366","UNDER_INVESTIGATION","11/10/2018 4:26:29 PM"
"367","367","OPEN","6/21/2022 11:26:29 AM"
"368","368","CLOSED","8/27/2018 11:26:29 PM"
"369","369","UNDER_INVESTIGATION","8/10/2025 10:26:29 PM"
"370","370","OPEN","4/23/2018 3:26:29 AM"
"371","371","CLOSED","10/14/2023 6:26:29 PM"
"372","372","UNDER_INVESTIGATION","5/8/2024 4:26:29 PM"
"373","373","OPEN","6/11/2020 7:26:29 AM"
"374","374","CLOSED","10/9/2021 7:26:29 AM"
"375","375","UNDER_INVESTIGATION","9/14/2025 1:26:29 PM"
"376","376","OPEN","1/7/2026 10:26:29 AM"
"377","377","CLOSED","1/16/2025 3:26:29 PM"
"378","378","UNDER_INVESTIGATION","9/13/2019 6:26:29 PM"
"379","379","OPEN","5/7/2023 7:26:29 PM"
"380","380","CLOSED","10/25/2017 4:26:29 AM"
"381","381","UNDER_INVESTIGATION","5/18/2024 2:26:29 PM"
"382","382","OPEN","5/28/2021 1:26:29 PM"
"383","383","CLOSED","2/3/2021 5:26:29 AM"
"384","384","UNDER_INVESTIGATION","7/10/2023 1:26:29 PM"
"385","385","OPEN","4/28/2020 6:26:29 PM"
"386","386","CLOSED","3/25/2026 6:26:29 PM"
"387","387","UNDER_INVESTIGATION","12/8/2016 10:26:29 AM"
"388","388","OPEN","12/11/2018 8:26:29 AM"
"389","389","CLOSED","10/5/2020 9:26:29 AM"
"390","390","UNDER_INVESTIGATION","7/29/2017 12:26:29 AM"
"391","391","OPEN","4/15/2017 5:26:29 PM"
"392","392","CLOSED","11/19/2019 5:26:29 AM"
"393","393","UNDER_INVESTIGATION","5/29/2018 8:26:29 PM"
"394","394","OPEN","12/20/2019 11:26:29 PM"
"395","395","CLOSED","4/19/2022 10:26:29 AM"
"396","396","UNDER_INVESTIGATION","3/24/2017 6:26:29 AM"
"397","397","OPEN","2/7/2024 10:26:29 AM"
"398","398","CLOSED","2/5/2017 10:26:29 AM"
"399","399","UNDER_INVESTIGATION","11/2/2016 10:26:29 PM"
"400","400","OPEN","11/15/2022 6:26:29 AM"
"401","401","CLOSED","1/24/2025 7:26:29 PM"
"402","402","UNDER_INVESTIGATION","7/15/2019 7:26:29 PM"
"403","403","OPEN","3/8/2021 1:26:29 AM"
"404","404","CLOSED","9/12/2024 10:26:29 AM"
"405","405","UNDER_INVESTIGATION","6/25/2022 6:26:29 PM"
"406","406","OPEN","10/17/2024 11:26:29 AM"
"407","407","CLOSED","10/12/2016 11:26:29 PM"
"408","408","UNDER_INVESTIGATION","4/2/2023 9:26:29 AM"
"409","409","OPEN","9/16/2024 6:26:29 PM"
"410","410","CLOSED","12/27/2019 8:26:29 PM"
"411","411","UNDER_INVESTIGATION","4/6/2018 8:26:29 PM"
"412","412","OPEN","8/2/2025 5:26:29 PM"
"413","413","CLOSED","11/17/2025 11:26:29 AM"
"414","414","UNDER_INVESTIGATION","4/17/2017 7:26:29 PM"
"415","415","OPEN","4/29/2021 8:26:29 PM"
"416","416","CLOSED","7/27/2020 4:26:29 PM"
"417","417","UNDER_INVESTIGATION","2/3/2017 6:26:29 AM"
"418","418","OPEN","6/19/2025 3:26:29 AM"
"419","419","CLOSED","5/27/2026 4:26:29 PM"
"420","420","UNDER_INVESTIGATION","6/16/2021 7:26:29 AM"
"421","421","OPEN","1/2/2026 9:26:29 AM"
"422","422","CLOSED","1/1/2021 1:26:29 AM"
"423","423","UNDER_INVESTIGATION","11/19/2021 4:26:29 AM"
"424","424","OPEN","6/3/2021 9:26:29 PM"
"425","425","CLOSED","2/12/2026 4:26:29 PM"
"426","426","UNDER_INVESTIGATION","2/7/2026 10:26:29 PM"
"427","427","OPEN","12/5/2019 6:26:29 AM"
"428","428","CLOSED","3/28/2026 11:26:29 PM"
"429","429","UNDER_INVESTIGATION","3/29/2026 5:26:29 PM"
"430","430","OPEN","12/9/2022 11:26:29 PM"
"431","431","CLOSED","8/9/2019 11:26:29 PM"
"432","432","UNDER_INVESTIGATION","2/10/2018 7:26:29 AM"
"433","433","OPEN","11/14/2022 5:26:29 PM"
"434","434","CLOSED","3/23/2018 8:26:29 PM"
"435","435","UNDER_INVESTIGATION","1/26/2022 7:26:29 AM"
"436","436","OPEN","11/21/2019 8:26:29 PM"
"437","437","CLOSED","6/7/2020 2:26:29 AM"
"438","438","UNDER_INVESTIGATION","10/18/2022 8:26:29 AM"
"439","439","OPEN","4/6/2026 7:26:29 PM"
"440","440","CLOSED","8/22/2016 3:26:29 AM"
"441","441","UNDER_INVESTIGATION","9/26/2019 10:26:29 PM"
"442","442","OPEN","4/25/2025 9:26:29 AM"
"443","443","CLOSED","8/18/2023 7:26:29 AM"
"444","444","UNDER_INVESTIGATION","5/16/2022 4:26:29 PM"
"445","445","OPEN","8/24/2020 12:26:29 PM"
"446","446","CLOSED","5/15/2017 2:26:29 AM"
"447","447","UNDER_INVESTIGATION","6/14/2025 5:26:29 AM"
"448","448","OPEN","1/16/2018 3:26:29 AM"
"449","449","CLOSED","8/12/2024 7:26:29 PM"
"450","450","UNDER_INVESTIGATION","7/20/2022 9:26:29 AM"
"451","451","OPEN","6/23/2020 10:26:29 PM"
"452","452","CLOSED","6/17/2025 8:26:29 AM"
"453","453","UNDER_INVESTIGATION","2/9/2020 1:26:29 AM"
"454","454","OPEN","4/20/2018 4:26:29 PM"
"455","455","CLOSED","3/7/2025 9:26:29 PM"
"456","456","UNDER_INVESTIGATION","3/30/2020 3:26:29 AM"
"457","457","OPEN","12/17/2019 8:26:29 PM"
"458","458","CLOSED","12/18/2021 12:26:29 PM"
"459","459","UNDER_INVESTIGATION","1/19/2023 7:26:29 AM"
"460","460","OPEN","1/10/2020 4:26:29 PM"
