"id","delivery_status"
"244","SENT"
"245","SENT"
"246","SENT"
"247","QUEUED"
"248","SENT"
"249","SENT"
"250","SENT"
"251","SENT"
"252","SENT"
"253","SENT"
"254","SENT"
"255","FAILED"
"256","SENT"
"257","SENT"
"258","SENT"
"259","SENT"
"260","QUEUED"
"261","SENT"
"262","SENT"
"263","SENT"
"264","SENT"
"265","SENT"
"266","SENT"
"267","SENT"
"268","SENT"
"269","SENT"
"270","SENT"
"271","SENT"
"272","FAILED"
"273","QUEUED"
"274","SENT"
"275","SENT"
"276","SENT"
"277","SENT"
"278","SENT"
"279","SENT"
"280","SENT"
"281","SENT"
"282","SENT"
"283","SENT"
"284","SENT"
"285","SENT"
"286","QUEUED"
"287","SENT"
"288","SENT"
"289","FAILED"
"290","SENT"
"291","SENT"
"292","SENT"
"293","SENT"
"294","SENT"
"295","SENT"
"296","SENT"
"297","SENT"
"298","SENT"
"299","QUEUED"
"300","SENT"
"301","SENT"
"302","SENT"
"303","SENT"
"304","SENT"
"305","SENT"
"306","FAILED"
"307","SENT"
"308","SENT"
"309","SENT"
"310","SENT"
"311","SENT"
"312","QUEUED"
"313","SENT"
"314","SENT"
"315","SENT"
"316","SENT"
"317","SENT"
"318","SENT"
"319","SENT"
"320","SENT"
"321","SENT"
"322","SENT"
"323","FAILED"
"324","SENT"
"325","QUEUED"
"326","SENT"
"327","SENT"
"328","SENT"
"329","SENT"
"330","SENT"
"331","SENT"
"332","SENT"
"333","SENT"
"334","SENT"
"335","SENT"
"336","SENT"
"337","SENT"
"338","QUEUED"
"339","SENT"
"340","FAILED"
"341","SENT"
"342","SENT"
"343","SENT"
"344","SENT"
"345","SENT"
"346","SENT"
"347","SENT"
"348","SENT"
"349","SENT"
"350","SENT"
"351","QUEUED"
"352","SENT"
"353","SENT"
"354","SENT"
"355","SENT"
"356","SENT"
"357","FAILED"
"358","SENT"
"359","SENT"
"360","SENT"
"361","SENT"
"362","SENT"
"363","SENT"
"364","QUEUED"
"365","SENT"
"366","SENT"
"367","SENT"
"368","SENT"
"369","SENT"
"370","SENT"
"371","SENT"
"372","SENT"
"373","SENT"
"374","FAILED"
"375","SENT"
"376","SENT"
"377","QUEUED"
"378","SENT"
"379","SENT"
"380","SENT"
"381","SENT"
"382","SENT"
"383","SENT"
"384","SENT"
"385","SENT"
"386","SENT"
"387","SENT"
"388","SENT"
"389","SENT"
"390","QUEUED"
"391","FAILED"
"392","SENT"
"393","SENT"
"394","SENT"
"395","SENT"
"396","SENT"
"397","SENT"
"398","SENT"
"399","SENT"
"400","SENT"
"401","SENT"
"402","SENT"
"403","QUEUED"
"404","SENT"
"405","SENT"
"406","SENT"
"407","SENT"
"408","FAILED"
"409","SENT"
"410","SENT"
"411","SENT"
"412","SENT"
"413","SENT"
"414","SENT"
"415","SENT"
"416","QUEUED"
"417","SENT"
"418","SENT"
"419","SENT"
"420","SENT"
"421","SENT"
"422","SENT"
"423","SENT"
"424","SENT"
"425","FAILED"
"426","SENT"
"427","SENT"
"428","SENT"
"429","QUEUED"
"430","SENT"
"431","SENT"
"432","SENT"
"433","SENT"
"434","SENT"
"435","SENT"
"436","SENT"
"437","SENT"
"438","SENT"
"439","SENT"
"440","SENT"
"441","SENT"
"442","FAILED"
"443","SENT"
"444","SENT"
"445","SENT"
"446","SENT"
"447","SENT"
"448","SENT"
"449","SENT"
"450","SENT"
"451","SENT"
"452","SENT"
"453","SENT"
"454","SENT"
"455","QUEUED"
"456","SENT"
"457","SENT"
"458","SENT"
"459","FAILED"
"460","SENT"
"461","SENT"
"462","SENT"
"463","SENT"
"464","SENT"
"465","SENT"
"466","SENT"
"467","SENT"
"468","QUEUED"
"469","SENT"
"470","SENT"
"471","SENT"
"472","SENT"
"473","SENT"
"474","SENT"
"475","SENT"
"476","FAILED"
"477","SENT"
"478","SENT"
"479","SENT"
"480","SENT"
"481","QUEUED"
"482","SENT"
"483","SENT"
"484","SENT"
"485","SENT"
"486","SENT"
"487","SENT"
"488","SENT"
"489","SENT"
"490","SENT"
"491","SENT"
"492","SENT"
"493","FAILED"
"494","QUEUED"
"495","SENT"
"496","SENT"
"497","SENT"
"498","SENT"
"499","SENT"
"500","SENT"
"501","SENT"
"502","SENT"
"503","SENT"
"504","SENT"
"505","SENT"
"506","SENT"
"507","QUEUED"
"508","SENT"
"509","SENT"
"510","FAILED"
"511","SENT"
"512","SENT"
"513","SENT"
"514","SENT"
"515","SENT"
"516","SENT"
"517","SENT"
"518","SENT"
"519","SENT"
"520","QUEUED"
"521","SENT"
"522","SENT"
"523","SENT"
"524","SENT"
"525","SENT"
"526","SENT"
"527","FAILED"
"528","SENT"
"529","SENT"
"530","SENT"
"531","SENT"
"532","SENT"
"533","QUEUED"
"534","SENT"
"535","SENT"
"536","SENT"
"537","SENT"
"538","SENT"
"539","SENT"
"540","SENT"
"541","SENT"
"542","SENT"
"543","SENT"
"544","FAILED"
"545","SENT"
"546","QUEUED"
"547","SENT"
"548","SENT"
"549","SENT"
"550","SENT"
"551","SENT"
"552","SENT"
"553","SENT"
"554","SENT"
"555","SENT"
"556","SENT"
"557","SENT"
"558","SENT"
"559","QUEUED"
"560","SENT"
"561","FAILED"
"562","SENT"
"563","SENT"
"564","SENT"
"565","SENT"
"566","SENT"
"567","SENT"
"568","SENT"
"569","SENT"
"570","SENT"
"571","SENT"
"572","QUEUED"
"573","SENT"
"574","SENT"
"575","SENT"
"576","SENT"
"577","SENT"
"578","FAILED"
"579","SENT"
"580","SENT"
"581","SENT"
"582","SENT"
"583","SENT"
"584","SENT"
"585","QUEUED"
"586","SENT"
"587","SENT"
"588","SENT"
"589","SENT"
"590","SENT"
"591","SENT"
"592","SENT"
"593","SENT"
"594","SENT"
"595","FAILED"
"596","SENT"
"597","SENT"
"598","QUEUED"
"599","SENT"
"600","SENT"
"601","SENT"
"602","SENT"
"603","SENT"
"604","SENT"
"605","SENT"
"606","SENT"
"607","SENT"
"608","SENT"
"609","SENT"
"610","SENT"
"611","QUEUED"
"612","FAILED"
"613","SENT"
"614","SENT"
"615","SENT"
"616","SENT"
"617","SENT"
"618","SENT"
"619","SENT"
"620","SENT"
"621","SENT"
"622","SENT"
"623","SENT"
"624","QUEUED"
"625","SENT"
"626","SENT"
"627","SENT"
"628","SENT"
"629","FAILED"
"630","SENT"
"631","SENT"
"632","SENT"
"633","SENT"
"634","SENT"
"635","SENT"
"636","SENT"
"637","QUEUED"
"638","SENT"
"639","SENT"
"640","SENT"
"641","SENT"
"642","SENT"
"643","SENT"
"644","SENT"
"645","SENT"
"646","FAILED"
"647","SENT"
"648","SENT"
"649","SENT"
"650","QUEUED"
"651","SENT"
"652","SENT"
"653","SENT"
"654","SENT"
"655","SENT"
"656","SENT"
"657","SENT"
"658","SENT"
"659","SENT"
"660","SENT"
"661","SENT"
"662","SENT"
"663","FAILED"
"664","SENT"
"665","SENT"
"666","SENT"
"667","SENT"
"668","SENT"
"669","SENT"
"670","SENT"
"671","SENT"
"672","SENT"
"673","SENT"
"674","SENT"
"675","SENT"
"676","QUEUED"
"677","SENT"
"678","SENT"
"679","SENT"
"680","FAILED"
"681","SENT"
"682","SENT"
"683","SENT"
"684","SENT"
"685","SENT"
"686","SENT"
"687","SENT"
"688","SENT"
"689","QUEUED"
"690","SENT"
"691","SENT"
"692","SENT"
"693","SENT"
"694","SENT"
"695","SENT"
"696","SENT"
"697","FAILED"
"698","SENT"
"699","SENT"
"700","SENT"
"701","SENT"
"702","QUEUED"
"703","SENT"
"704","SENT"
"705","SENT"
"706","SENT"
"707","SENT"
"708","SENT"
"709","SENT"
"710","SENT"
"711","SENT"
"712","SENT"
"713","SENT"
"714","FAILED"
"715","QUEUED"
"716","SENT"
"717","SENT"
"718","SENT"
"719","SENT"
"720","SENT"
"721","SENT"
"722","SENT"
"723","SENT"
"724","SENT"
"725","SENT"
"726","SENT"
"727","SENT"
"728","QUEUED"
"729","SENT"
"730","SENT"
"731","FAILED"
"732","SENT"
"733","SENT"
"734","SENT"
"735","SENT"
"736","SENT"
"737","SENT"
"738","SENT"
"739","SENT"
"740","SENT"
"741","QUEUED"
"742","SENT"
"743","SENT"
"744","SENT"
"745","SENT"
"746","SENT"
"747","SENT"
"748","FAILED"
"749","SENT"
"750","SENT"
"751","SENT"
"752","SENT"
"753","SENT"
"754","QUEUED"
"755","SENT"
"756","SENT"
"757","SENT"
"758","SENT"
"759","SENT"
"760","SENT"
"761","SENT"
"762","SENT"
"763","SENT"
"764","SENT"
"765","FAILED"
"766","SENT"
"767","QUEUED"
"768","SENT"
"769","SENT"
"770","SENT"
"771","SENT"
"772","SENT"
"773","SENT"
"774","SENT"
"775","SENT"
"776","SENT"
"777","SENT"
"778","SENT"
"779","SENT"
"780","QUEUED"
"781","SENT"
"782","FAILED"
"783","SENT"
"784","SENT"
"785","SENT"
"786","SENT"
"787","SENT"
"788","SENT"
"789","SENT"
"790","SENT"
"791","SENT"
"792","SENT"
"793","QUEUED"
"794","SENT"
"795","SENT"
"796","SENT"
"797","SENT"
"798","SENT"
"799","FAILED"
"800","SENT"
"801","SENT"
"802","SENT"
"803","SENT"
"804","SENT"
"805","SENT"
"806","QUEUED"
"807","SENT"
"808","SENT"
"809","SENT"
"810","SENT"
"811","SENT"
"812","SENT"
"813","SENT"
"814","SENT"
"815","SENT"
"816","FAILED"
"817","SENT"
"818","SENT"
"819","QUEUED"
"820","SENT"
"821","SENT"
"822","SENT"
"823","SENT"
"824","SENT"
"825","SENT"
"826","SENT"
"827","SENT"
"828","SENT"
"829","SENT"
"830","SENT"
"831","SENT"
"832","QUEUED"
"833","FAILED"
"834","SENT"
"835","SENT"
"836","SENT"
"837","SENT"
"838","SENT"
"839","SENT"
"840","SENT"
"841","SENT"
"842","SENT"
"843","SENT"
"844","SENT"
"845","QUEUED"
"846","SENT"
"847","SENT"
"848","SENT"
"849","SENT"
"850","FAILED"
"851","SENT"
"852","SENT"
"853","SENT"
"854","SENT"
"855","SENT"
"856","SENT"
"857","SENT"
"858","QUEUED"
"859","SENT"
"860","SENT"
"861","SENT"
"862","SENT"
"863","SENT"
"864","SENT"
"865","SENT"
"866","SENT"
"867","FAILED"
"868","SENT"
"869","SENT"
"870","SENT"
"871","QUEUED"
"872","SENT"
"873","SENT"
"874","SENT"
"875","SENT"
"876","SENT"
"877","SENT"
"878","SENT"
"879","SENT"
"880","SENT"
"881","SENT"
"882","SENT"
"883","SENT"
"884","FAILED"
"885","SENT"
"886","SENT"
"887","SENT"
"888","SENT"
"889","SENT"
"890","SENT"
"891","SENT"
"892","SENT"
"893","SENT"
"894","SENT"
"895","SENT"
"896","SENT"
"897","QUEUED"
"898","SENT"
"899","SENT"
"900","SENT"
"901","FAILED"
"902","SENT"
"903","SENT"
"904","SENT"
"905","SENT"
"906","SENT"
"907","SENT"
"908","SENT"
"909","SENT"
"910","QUEUED"
"911","SENT"
"912","SENT"
"913","SENT"
"914","SENT"
"915","SENT"
"916","SENT"
"917","SENT"
"918","FAILED"
"919","SENT"
"920","SENT"
"921","SENT"
"922","SENT"
"923","QUEUED"
"924","SENT"
"925","SENT"
"926","SENT"
"927","SENT"
"928","SENT"
"929","SENT"
"930","SENT"
"931","SENT"
"932","SENT"
"933","SENT"
"934","SENT"
"935","FAILED"
"936","QUEUED"
"937","SENT"
"938","SENT"
"939","SENT"
"940","SENT"
"941","SENT"
"942","SENT"
"943","SENT"
"944","SENT"
"945","SENT"
"946","SENT"
"947","SENT"
"948","SENT"
"949","QUEUED"
"950","SENT"
"951","SENT"
"952","FAILED"
"953","SENT"
"954","SENT"
"955","SENT"
"956","SENT"
"957","SENT"
"958","SENT"
"959","SENT"
"960","SENT"
"961","SENT"
"962","QUEUED"
"963","SENT"
"964","SENT"
"965","SENT"
"966","SENT"
"967","SENT"
"968","SENT"
"969","FAILED"
"970","SENT"
"971","SENT"
"972","SENT"
"973","SENT"
"974","SENT"
"975","QUEUED"
"976","SENT"
"977","SENT"
"978","SENT"
"979","SENT"
"980","SENT"
"981","SENT"
"982","SENT"
"983","SENT"
"984","SENT"
"985","SENT"
"986","FAILED"
"987","SENT"
"988","QUEUED"
"989","SENT"
"990","SENT"
"991","SENT"
"992","SENT"
"993","SENT"
"994","SENT"
"995","SENT"
"996","SENT"
"997","SENT"
"998","SENT"
"999","SENT"
"1000","SENT"
"1001","QUEUED"
"1002","SENT"
"1003","FAILED"
"1004","SENT"
"1005","SENT"
"1006","SENT"
"1007","SENT"
"1008","SENT"
"1009","SENT"
"1010","SENT"
"1011","SENT"
"1012","SENT"
"1013","SENT"
"1014","QUEUED"
"1015","SENT"
"1016","SENT"
"1017","SENT"
"1018","SENT"
"1019","SENT"
"1020","FAILED"
"1021","SENT"
"1022","SENT"
"1023","SENT"
"1024","SENT"
"1025","SENT"
"1026","SENT"
"1027","QUEUED"
"1028","SENT"
"1029","SENT"
"1030","SENT"
"1031","SENT"
"1032","SENT"
"1033","SENT"
"1034","SENT"
"1035","SENT"
"1036","SENT"
"1037","FAILED"
"1038","SENT"
"1039","SENT"
"1040","QUEUED"
"1041","SENT"
"1042","SENT"
"1043","SENT"
"1044","SENT"
"1045","SENT"
"1046","SENT"
"1047","SENT"
"1048","SENT"
"1049","SENT"
"1050","SENT"
"1051","SENT"
"1052","SENT"
"1053","QUEUED"
"1054","FAILED"
"1055","SENT"
"1056","SENT"
"1057","SENT"
"1058","SENT"
"1059","SENT"
"1060","SENT"
"1061","SENT"
"1062","SENT"
"1063","SENT"
"1064","SENT"
"1065","SENT"
"1066","QUEUED"
"1067","SENT"
"1068","SENT"
"1069","SENT"
"1070","SENT"
"1071","FAILED"
"1072","SENT"
"1073","SENT"
"1074","SENT"
"1075","SENT"
"1076","SENT"
"1077","SENT"
"1078","SENT"
"1079","QUEUED"
"1080","SENT"
"1081","SENT"
"1082","SENT"
"1083","SENT"
"1084","SENT"
"1085","SENT"
"1086","SENT"
"1087","SENT"
"1088","FAILED"
"1089","SENT"
"1090","SENT"
"1091","SENT"
"1092","QUEUED"
"1093","SENT"
"1094","SENT"
"1095","SENT"
"1096","SENT"
"1097","SENT"
"1098","SENT"
"1099","SENT"
"1100","SENT"
"1101","SENT"
"1102","SENT"
"1103","SENT"
"1104","SENT"
"1105","FAILED"
"1106","SENT"
"1107","SENT"
"1108","SENT"
"1109","SENT"
"1110","SENT"
"1111","SENT"
"1112","SENT"
"1113","SENT"
"1114","SENT"
"1115","SENT"
"1116","SENT"
"1117","SENT"
"1118","QUEUED"
"1119","SENT"
"1120","SENT"
"1121","SENT"
"1122","FAILED"
"1123","SENT"
"1124","SENT"
"1125","SENT"
"1126","SENT"
"1127","SENT"
"1128","SENT"
"1129","SENT"
"1130","SENT"
"1131","QUEUED"
"1132","SENT"
"1133","SENT"
"1134","SENT"
"1135","SENT"
"1136","SENT"
"1137","SENT"
"1138","SENT"
"1139","FAILED"
"1140","SENT"
"1141","SENT"
"1142","SENT"
"1143","SENT"
"1144","QUEUED"
"1145","SENT"
"1146","SENT"
"1147","SENT"
"1148","SENT"
"1149","SENT"
"1150","SENT"
"1151","SENT"
"1152","SENT"
"1153","SENT"
"1154","SENT"
"1155","SENT"
"1156","FAILED"
"1157","QUEUED"
"1158","SENT"
"1159","SENT"
"1160","SENT"
"1161","SENT"
"1162","SENT"
"1163","SENT"
"1164","SENT"
"1165","SENT"
"1166","SENT"
"1167","SENT"
"1168","SENT"
"1169","SENT"
"1170","QUEUED"
"1171","SENT"
"1172","SENT"
"1173","FAILED"
"1174","SENT"
"1175","SENT"
"1176","SENT"
"1177","SENT"
"1178","SENT"
"1179","SENT"
"1180","SENT"
"1181","SENT"
"1182","SENT"
"1183","QUEUED"
"1184","SENT"
"1185","SENT"
"1186","SENT"
"1187","SENT"
"1188","SENT"
"1189","SENT"
"1190","FAILED"
"1191","SENT"
"1192","SENT"
"1193","SENT"
"1194","SENT"
"1195","SENT"
"1196","QUEUED"
"1197","SENT"
"1198","SENT"
"1199","SENT"
"1200","SENT"
"1201","SENT"
"1202","SENT"
"1203","SENT"
"1204","SENT"
"1205","SENT"
"1206","SENT"
"1207","FAILED"
"1208","SENT"
"1209","QUEUED"
"1210","SENT"
"1211","SENT"
"1212","SENT"
"1213","SENT"
"1214","SENT"
"1215","SENT"
"1216","SENT"
"1217","SENT"
"1218","SENT"
"1219","SENT"
"1220","SENT"
"1221","SENT"
"1222","QUEUED"
"1223","SENT"
"1224","FAILED"
"1225","SENT"
"1226","SENT"
"1227","SENT"
"1228","SENT"
"1229","SENT"
"1230","SENT"
"1231","SENT"
"1232","SENT"
"1233","SENT"
"1234","SENT"
"1235","QUEUED"
"1236","SENT"
"1237","SENT"
"1238","SENT"
"1239","SENT"
"1240","SENT"
"1241","FAILED"
"1242","SENT"
"1243","SENT"
"1244","SENT"
"1245","SENT"
"1246","SENT"
"1247","SENT"
"1248","QUEUED"
"1249","SENT"
"1250","SENT"
"1251","SENT"
"1252","SENT"
"1253","SENT"
"1254","SENT"
"1255","SENT"
"1256","SENT"
"1257","SENT"
"1258","FAILED"
"1259","SENT"
"1260","SENT"
"1261","QUEUED"
"1262","SENT"
"1263","SENT"
"1264","SENT"
"1265","SENT"
"1266","SENT"
"1267","SENT"
"1268","SENT"
"1269","SENT"
"1270","SENT"
"1271","SENT"
"1272","SENT"
"1273","SENT"
"1274","QUEUED"
"1275","FAILED"
"1276","SENT"
"1277","SENT"
"1278","SENT"
"1279","SENT"
"1280","SENT"
"1281","SENT"
"1282","SENT"
"1283","SENT"
"1284","SENT"
"1285","SENT"
"1286","SENT"
"1287","QUEUED"
"1288","SENT"
"1289","SENT"
"1290","SENT"
"1291","SENT"
"1292","FAILED"
"1293","SENT"
"1294","SENT"
"1295","SENT"
"1296","SENT"
"1297","SENT"
"1298","SENT"
"1299","SENT"
"1300","QUEUED"
"1301","SENT"
"1302","SENT"
"1303","SENT"
"1304","SENT"
"1305","SENT"
"1306","SENT"
"1307","SENT"
"1308","SENT"
"1309","FAILED"
"1310","SENT"
"1311","SENT"
"1312","SENT"
"1313","QUEUED"
"1314","SENT"
"1315","SENT"
"1316","SENT"
"1317","SENT"
"1318","SENT"
"1319","SENT"
"1320","SENT"
"1321","SENT"
"1322","SENT"
"1323","SENT"
"1324","SENT"
"1325","SENT"
"1326","FAILED"
"1327","SENT"
"1328","SENT"
"1329","SENT"
"1330","SENT"
"1331","SENT"
"1332","SENT"
"1333","SENT"
"1334","SENT"
"1335","SENT"
"1336","SENT"
"1337","SENT"
"1338","SENT"
"1339","QUEUED"
"1340","SENT"
"1341","SENT"
"1342","SENT"
"1343","FAILED"
"1344","SENT"
"1345","SENT"
"1346","SENT"
"1347","SENT"
"1348","SENT"
"1349","SENT"
"1350","SENT"
"1351","SENT"
"1352","QUEUED"
"1353","SENT"
"1354","SENT"
"1355","SENT"
"1356","SENT"
"1357","SENT"
"1358","SENT"
"1359","SENT"
"1360","FAILED"
"1361","SENT"
"1362","SENT"
"1363","SENT"
"1364","SENT"
"1365","QUEUED"
"1366","SENT"
"1367","SENT"
"1368","SENT"
"1369","SENT"
"1370","SENT"
"1371","SENT"
"1372","SENT"
"1373","SENT"
"1374","SENT"
"1375","SENT"
"1376","SENT"
"1377","FAILED"
"1378","QUEUED"
"1379","SENT"
"1380","SENT"
"1381","SENT"
"1382","SENT"
"1383","SENT"
"1384","SENT"
"1385","SENT"
"1386","SENT"
"1387","SENT"
"1388","SENT"
"1389","SENT"
"1390","SENT"
"1391","QUEUED"
"1392","SENT"
"1393","SENT"
"1394","FAILED"
"1395","SENT"
"1396","SENT"
"1397","SENT"
"1398","SENT"
"1399","SENT"
"1400","SENT"
"1401","SENT"
"1402","SENT"
"1403","SENT"
"1404","QUEUED"
"1405","SENT"
"1406","SENT"
"1407","SENT"
"1408","SENT"
"1409","SENT"
"1410","SENT"
"1411","FAILED"
"1412","SENT"
"1413","SENT"
"1414","SENT"
"1415","SENT"
"1416","SENT"
"1417","QUEUED"
"1418","SENT"
"1419","SENT"
"1420","SENT"
"1421","SENT"
"1422","SENT"
"1423","SENT"
"1424","SENT"
"1425","SENT"
"1426","SENT"
"1427","SENT"
"1428","FAILED"
"1429","SENT"
"1430","QUEUED"
"1431","SENT"
"1432","SENT"
"1433","SENT"
"1434","SENT"
"1435","SENT"
"1436","SENT"
"1437","SENT"
"1438","SENT"
"1439","SENT"
"1440","SENT"
"1441","SENT"
"1442","SENT"
"1443","QUEUED"
"1444","SENT"
"1445","FAILED"
"1446","SENT"
"1447","SENT"
"1448","SENT"
"1449","SENT"
"1450","SENT"
"1451","SENT"
"1452","SENT"
"1453","SENT"
"1454","SENT"
"1455","SENT"
"1456","QUEUED"
"1457","SENT"
"1458","SENT"
"1459","SENT"
"1460","SENT"
"1461","SENT"
"1462","FAILED"
"1463","SENT"
"1464","SENT"
"1465","SENT"
"1466","SENT"
"1467","SENT"
"1468","SENT"
"1469","QUEUED"
"1470","SENT"
"1471","SENT"
"1472","SENT"
"1473","SENT"
"1474","SENT"
"1475","SENT"
"1476","SENT"
"1477","SENT"
"1478","SENT"
"1479","FAILED"
"1480","SENT"
"1481","SENT"
"1482","QUEUED"
"1483","SENT"
"1484","SENT"
"1485","SENT"
"1486","SENT"
"1487","SENT"
"1488","SENT"
"1489","SENT"
"1490","SENT"
"1491","SENT"
"1492","SENT"
"1493","SENT"
"1494","SENT"
"1495","QUEUED"
"1496","FAILED"
"1497","SENT"
"1498","SENT"
"1499","SENT"
"1500","SENT"
"1501","SENT"
"1502","SENT"
"1503","SENT"
"1504","SENT"
"1505","SENT"
"1506","SENT"
"1507","SENT"
"1508","QUEUED"
"1509","SENT"
"1510","SENT"
"1511","SENT"
"1512","SENT"
"1513","FAILED"
"1514","SENT"
"1515","SENT"
"1516","SENT"
"1517","SENT"
"1518","SENT"
"1519","SENT"
"1520","SENT"
"1521","QUEUED"
"1522","SENT"
"1523","SENT"
"1524","SENT"
"1525","SENT"
"1526","SENT"
"1527","SENT"
"1528","SENT"
"1529","SENT"
"1530","FAILED"
"1531","SENT"
"1532","SENT"
"1533","SENT"
"1534","QUEUED"
"1535","SENT"
"1536","SENT"
"1537","SENT"
"1538","SENT"
"1539","SENT"
"1540","SENT"
"1541","SENT"
"1542","SENT"
"1543","SENT"
"1544","SENT"
"1545","SENT"
"1546","SENT"
"1547","FAILED"
"1548","SENT"
"1549","SENT"
"1550","SENT"
"1551","SENT"
"1552","SENT"
"1553","SENT"
"1554","SENT"
"1555","SENT"
"1556","SENT"
"1557","SENT"
"1558","SENT"
"1559","SENT"
"1560","QUEUED"
"1561","SENT"
"1562","SENT"
"1563","SENT"
"1564","FAILED"
"1565","SENT"
"1566","SENT"
"1567","SENT"
"1568","SENT"
"1569","SENT"
"1570","SENT"
"1571","SENT"
"1572","SENT"
"1573","QUEUED"
"1574","SENT"
"1575","SENT"
"1576","SENT"
"1577","SENT"
"1578","SENT"
"1579","SENT"
"1580","SENT"
"1581","FAILED"
"1582","SENT"
"1583","SENT"
"1584","SENT"
"1585","SENT"
"1586","QUEUED"
"1587","SENT"
"1588","SENT"
"1589","SENT"
"1590","SENT"
"1591","SENT"
"1592","SENT"
"1593","SENT"
"1594","SENT"
"1595","SENT"
"1596","SENT"
"1597","SENT"
"1598","FAILED"
"1599","QUEUED"
"1600","SENT"
"1601","SENT"
"1602","SENT"
"1603","SENT"
"1604","SENT"
"1605","SENT"
"1606","SENT"
"1607","SENT"
"1608","SENT"
"1609","SENT"
"1610","SENT"
"1611","SENT"
"1612","QUEUED"
"1613","SENT"
"1614","SENT"
"1615","FAILED"
"1616","SENT"
"1617","SENT"
"1618","SENT"
"1619","SENT"
"1620","SENT"
"1621","SENT"
"1622","SENT"
"1623","SENT"
"1624","SENT"
"1625","QUEUED"
"1626","SENT"
"1627","SENT"
