"citizen_id","event_type","event_time"
"115","Insurance Activated","1/26/2025 6:26:40 PM"
"116","Fine Issued","5/24/2017 2:26:40 AM"
"117","Payment Attempted","8/16/2022 8:26:40 AM"
"118","Accident Logged","12/28/2019 10:26:40 AM"
"119","Investigation Opened","2/19/2020 10:26:40 AM"
"120","Court Hearing","9/21/2021 6:26:40 PM"
"121","Resolution Closed","6/14/2024 1:26:40 AM"
"122","Citizen Birth","7/21/2022 10:26:40 PM"
"123","NIDA Issued","6/16/2018 2:26:40 AM"
"124","License Issued","3/12/2025 6:26:40 PM"
"125","Vehicle Purchase","1/26/2025 1:26:40 PM"
"126","Insurance Activated","3/20/2025 8:26:40 AM"
"127","Fine Issued","6/4/2025 2:26:40 AM"
"128","Payment Attempted","5/29/2021 4:26:40 PM"
"129","Accident Logged","9/5/2016 8:26:40 AM"
"130","Investigation Opened","5/20/2017 1:26:40 AM"
"131","Court Hearing","9/21/2025 9:26:40 AM"
"132","Resolution Closed","3/26/2023 2:26:40 PM"
"133","Citizen Birth","8/12/2022 4:26:40 AM"
"134","NIDA Issued","7/15/2017 2:26:40 PM"
"135","License Issued","12/31/2024 12:26:40 PM"
"136","Vehicle Purchase","12/24/2017 6:26:40 PM"
"137","Insurance Activated","1/14/2021 8:26:40 AM"
"138","Fine Issued","12/26/2022 9:26:40 AM"
"139","Payment Attempted","2/8/2026 2:26:40 AM"
"140","Accident Logged","1/14/2020 3:26:40 PM"
"141","Investigation Opened","12/5/2025 11:26:40 PM"
"142","Court Hearing","2/5/2026 12:26:40 AM"
"143","Resolution Closed","11/20/2021 11:26:40 AM"
"144","Citizen Birth","2/18/2025 5:26:40 AM"
"145","NIDA Issued","8/20/2021 10:26:40 AM"
"146","License Issued","2/23/2017 6:26:40 PM"
"147","Vehicle Purchase","3/31/2026 4:26:40 AM"
"148","Insurance Activated","5/23/2021 3:26:40 AM"
"149","Fine Issued","12/5/2016 6:26:40 PM"
"150","Payment Attempted","11/24/2025 6:26:40 PM"
"151","Accident Logged","12/20/2022 12:26:40 AM"
"152","Investigation Opened","3/20/2022 2:26:40 AM"
"153","Court Hearing","1/23/2017 8:26:40 PM"
"154","Resolution Closed","10/26/2021 6:26:40 AM"
"155","Citizen Birth","7/13/2017 7:26:40 PM"
"156","NIDA Issued","12/23/2019 3:26:40 PM"
"157","License Issued","10/21/2022 4:26:40 AM"
"158","Vehicle Purchase","2/2/2024 4:26:40 PM"
"159","Insurance Activated","5/14/2017 9:26:40 AM"
"160","Fine Issued","4/12/2023 8:26:40 PM"
"161","Payment Attempted","1/28/2026 2:26:40 PM"
"162","Accident Logged","8/20/2023 4:26:40 AM"
"163","Investigation Opened","4/8/2017 3:26:40 AM"
"164","Court Hearing","10/29/2020 12:26:40 AM"
"165","Resolution Closed","8/20/2021 6:26:40 AM"
"166","Citizen Birth","6/24/2026 10:26:40 PM"
"167","NIDA Issued","7/14/2024 8:26:40 AM"
"168","License Issued","11/14/2022 4:26:40 PM"
"169","Vehicle Purchase","12/8/2016 2:26:40 PM"
"170","Insurance Activated","8/5/2022 10:26:40 AM"
"171","Fine Issued","5/3/2022 8:26:40 AM"
"172","Payment Attempted","3/10/2024 10:26:40 AM"
"173","Accident Logged","7/19/2023 3:26:40 AM"
"174","Investigation Opened","2/8/2024 12:26:40 PM"
"175","Court Hearing","3/23/2017 1:26:40 PM"
"176","Resolution Closed","3/29/2023 9:26:40 AM"
"177","Citizen Birth","9/21/2023 7:26:40 PM"
"178","NIDA Issued","10/9/2020 6:26:40 PM"
"179","License Issued","11/28/2025 3:26:40 AM"
"180","Vehicle Purchase","1/6/2023 3:26:40 PM"
"181","Insurance Activated","12/9/2016 6:26:40 AM"
"182","Fine Issued","5/22/2020 1:26:40 PM"
"183","Payment Attempted","2/19/2021 3:26:40 AM"
"184","Accident Logged","4/27/2021 12:26:40 AM"
"185","Investigation Opened","4/13/2018 8:26:40 PM"
"186","Court Hearing","4/7/2019 5:26:40 AM"
"187","Resolution Closed","8/6/2020 11:26:40 PM"
"188","Citizen Birth","9/28/2025 8:26:40 AM"
"189","NIDA Issued","3/29/2021 12:26:40 AM"
"190","License Issued","7/22/2017 3:26:40 PM"
"191","Vehicle Purchase","7/30/2016 3:26:40 PM"
"192","Insurance Activated","2/10/2022 5:26:40 PM"
"193","Fine Issued","10/5/2018 8:26:40 AM"
"194","Payment Attempted","12/30/2024 5:26:40 PM"
"195","Accident Logged","1/9/2022 2:26:40 PM"
"196","Investigation Opened","2/4/2020 3:26:40 PM"
"197","Court Hearing","6/1/2022 4:26:40 PM"
"198","Resolution Closed","10/25/2016 1:26:40 AM"
"199","Citizen Birth","5/4/2022 10:26:40 PM"
"200","NIDA Issued","7/3/2022 7:26:40 AM"
"201","License Issued","8/5/2019 11:26:40 AM"
"202","Vehicle Purchase","6/5/2026 11:26:40 PM"
"203","Insurance Activated","7/20/2025 4:26:40 AM"
"204","Fine Issued","9/30/2022 11:26:40 AM"
"205","Payment Attempted","9/12/2021 7:26:40 PM"
"206","Accident Logged","11/30/2025 3:26:40 PM"
"207","Investigation Opened","3/6/2023 5:26:40 PM"
"208","Court Hearing","6/4/2019 3:26:40 AM"
"209","Resolution Closed","12/26/2019 10:26:40 AM"
"210","Citizen Birth","5/22/2026 8:26:40 PM"
"211","NIDA Issued","11/12/2025 11:26:40 AM"
"212","License Issued","8/7/2017 7:26:40 AM"
"213","Vehicle Purchase","8/13/2017 8:26:40 AM"
"214","Insurance Activated","2/18/2019 11:26:40 AM"
"215","Fine Issued","5/4/2022 2:26:40 PM"
"216","Payment Attempted","8/18/2020 6:26:40 AM"
"217","Accident Logged","2/12/2017 1:26:40 PM"
"218","Investigation Opened","5/17/2026 6:26:40 AM"
"219","Court Hearing","4/22/2019 7:26:40 AM"
"220","Resolution Closed","11/20/2020 6:26:40 PM"
"221","Citizen Birth","1/2/2020 2:26:40 AM"
"222","NIDA Issued","1/3/2025 11:26:40 AM"
"223","License Issued","6/2/2019 10:26:40 AM"
"224","Vehicle Purchase","8/22/2022 2:26:40 PM"
"225","Insurance Activated","10/20/2016 3:26:40 PM"
"226","Fine Issued","11/15/2019 9:26:40 PM"
"227","Payment Attempted","4/7/2022 11:26:40 AM"
"228","Accident Logged","6/2/2026 1:26:40 PM"
"229","Investigation Opened","7/3/2026 9:26:40 AM"
"230","Court Hearing","7/11/2021 6:26:40 AM"
"231","Resolution Closed","3/6/2022 9:26:40 PM"
"232","Citizen Birth","11/5/2021 3:26:40 PM"
"233","NIDA Issued","10/17/2016 9:26:40 AM"
"234","License Issued","10/18/2018 8:26:40 PM"
"235","Vehicle Purchase","4/16/2020 6:26:40 PM"
"236","Insurance Activated","7/8/2021 6:26:40 PM"
"237","Fine Issued","9/4/2022 11:26:40 PM"
"238","Payment Attempted","12/31/2017 1:26:40 PM"
"239","Accident Logged","3/20/2019 8:26:40 AM"
"240","Investigation Opened","2/23/2023 9:26:40 AM"
"241","Court Hearing","5/31/2020 9:26:40 AM"
"242","Resolution Closed","3/14/2017 4:26:40 PM"
"243","Citizen Birth","8/19/2025 6:26:40 AM"
"244","NIDA Issued","12/7/2019 7:26:40 AM"
"245","License Issued","6/16/2018 4:26:40 AM"
"246","Vehicle Purchase","7/29/2025 2:26:40 PM"
"247","Insurance Activated","1/25/2021 9:26:40 PM"
"248","Fine Issued","11/18/2024 4:26:40 AM"
"249","Payment Attempted","8/1/2018 10:26:40 PM"
"250","Accident Logged","6/7/2017 3:26:40 PM"
"251","Investigation Opened","12/31/2024 12:26:40 PM"
"252","Court Hearing","1/28/2025 12:26:40 AM"
"253","Resolution Closed","2/3/2024 7:26:40 AM"
"254","Citizen Birth","9/17/2025 8:26:40 AM"
"255","NIDA Issued","2/13/2026 3:26:40 AM"
"256","License Issued","10/9/2025 9:26:40 AM"
"257","Vehicle Purchase","5/2/2020 8:26:40 PM"
"258","Insurance Activated","9/11/2021 9:26:40 PM"
"259","Fine Issued","3/4/2021 1:26:40 PM"
"260","Payment Attempted","3/5/2020 12:26:40 PM"
"261","Accident Logged","5/29/2023 3:26:40 PM"
"262","Investigation Opened","6/20/2019 10:26:40 PM"
"263","Court Hearing","5/14/2021 3:26:40 PM"
"264","Resolution Closed","12/7/2025 10:26:40 AM"
"265","Citizen Birth","1/24/2024 4:26:40 PM"
"266","NIDA Issued","6/23/2026 1:26:40 AM"
"267","License Issued","7/22/2025 6:26:40 PM"
"268","Vehicle Purchase","6/5/2018 3:26:40 PM"
"269","Insurance Activated","4/22/2018 7:26:40 PM"
"270","Fine Issued","4/5/2022 8:26:40 AM"
"271","Payment Attempted","2/20/2026 5:26:40 PM"
"272","Accident Logged","6/27/2026 6:26:40 PM"
"273","Investigation Opened","3/24/2025 6:26:40 AM"
"274","Court Hearing","2/6/2025 8:26:40 AM"
"275","Resolution Closed","9/13/2016 4:26:40 PM"
"276","Citizen Birth","1/29/2020 9:26:40 AM"
"277","NIDA Issued","8/24/2018 7:26:40 AM"
"278","License Issued","4/14/2022 10:26:40 PM"
"279","Vehicle Purchase","11/14/2024 3:26:40 PM"
"280","Insurance Activated","2/7/2018 8:26:40 PM"
"281","Fine Issued","7/20/2016 5:26:40 AM"
"282","Payment Attempted","11/15/2018 12:26:40 AM"
"283","Accident Logged","7/2/2024 2:26:40 PM"
"284","Investigation Opened","7/31/2017 8:26:40 AM"
"285","Court Hearing","4/16/2019 3:26:40 PM"
"286","Resolution Closed","2/10/2020 9:26:40 AM"
"287","Citizen Birth","11/8/2022 6:26:40 PM"
"288","NIDA Issued","5/31/2018 5:26:40 PM"
"289","License Issued","4/24/2019 6:26:40 AM"
"290","Vehicle Purchase","9/2/2023 11:26:40 PM"
"291","Insurance Activated","8/6/2020 7:26:40 AM"
"292","Fine Issued","3/14/2017 7:26:40 PM"
"293","Payment Attempted","4/15/2026 8:26:40 AM"
"294","Accident Logged","5/15/2021 8:26:40 AM"
"295","Investigation Opened","10/13/2024 11:26:40 PM"
"296","Court Hearing","10/26/2020 6:26:40 AM"
"297","Resolution Closed","3/31/2019 10:26:40 AM"
"298","Citizen Birth","3/21/2026 11:26:40 AM"
"299","NIDA Issued","9/29/2017 5:26:40 PM"
"300","License Issued","8/2/2022 12:26:40 AM"
"301","Vehicle Purchase","6/26/2024 6:26:40 AM"
"302","Insurance Activated","9/8/2023 3:26:40 AM"
"303","Fine Issued","12/20/2025 4:26:40 PM"
"304","Payment Attempted","3/26/2020 4:26:40 AM"
"305","Accident Logged","1/30/2024 2:26:40 PM"
"306","Investigation Opened","7/8/2019 7:26:40 AM"
"307","Court Hearing","2/13/2022 10:26:40 PM"
"308","Resolution Closed","5/31/2017 10:26:40 AM"
"309","Citizen Birth","3/26/2024 3:26:40 AM"
"310","NIDA Issued","2/1/2023 4:26:40 AM"
"311","License Issued","1/6/2024 12:26:40 PM"
"312","Vehicle Purchase","2/5/2018 12:26:40 AM"
"313","Insurance Activated","10/18/2024 7:26:40 PM"
"314","Fine Issued","3/12/2024 10:26:40 PM"
"315","Payment Attempted","10/19/2020 10:26:40 AM"
"316","Accident Logged","9/3/2018 6:26:40 AM"
"317","Investigation Opened","5/30/2019 10:26:40 AM"
"318","Court Hearing","6/8/2024 9:26:40 PM"
"319","Resolution Closed","11/23/2018 4:26:40 PM"
"320","Citizen Birth","8/17/2021 12:26:40 AM"
"321","NIDA Issued","10/12/2022 1:26:40 AM"
"322","License Issued","8/8/2018 11:26:40 PM"
"323","Vehicle Purchase","9/17/2019 8:26:40 PM"
"324","Insurance Activated","1/5/2020 1:26:40 AM"
"325","Fine Issued","6/15/2026 7:26:40 AM"
"326","Payment Attempted","2/5/2020 5:26:40 PM"
"327","Accident Logged","8/27/2023 4:26:40 AM"
"328","Investigation Opened","6/11/2025 12:26:40 AM"
"329","Court Hearing","9/29/2023 10:26:40 AM"
"330","Resolution Closed","11/22/2025 8:26:40 PM"
"331","Citizen Birth","1/20/2022 4:26:40 AM"
"332","NIDA Issued","6/8/2020 1:26:40 AM"
"333","License Issued","10/27/2016 6:26:40 PM"
"334","Vehicle Purchase","2/1/2023 8:26:40 PM"
"335","Insurance Activated","5/8/2024 10:26:40 PM"
"336","Fine Issued","9/7/2024 8:26:40 PM"
"337","Payment Attempted","4/7/2019 8:26:40 AM"
"338","Accident Logged","5/3/2018 10:26:40 AM"
"339","Investigation Opened","11/27/2025 10:26:40 PM"
"340","Court Hearing","12/22/2019 5:26:40 PM"
"341","Resolution Closed","8/4/2017 10:26:40 AM"
"342","Citizen Birth","2/24/2022 9:26:40 PM"
"343","NIDA Issued","8/10/2023 5:26:40 AM"
"344","License Issued","7/16/2018 8:26:40 PM"
"345","Vehicle Purchase","5/20/2018 12:26:40 PM"
"346","Insurance Activated","8/16/2024 1:26:40 PM"
"347","Fine Issued","3/22/2020 9:26:40 AM"
"348","Payment Attempted","8/10/2017 4:26:40 AM"
"349","Accident Logged","4/27/2019 9:26:40 PM"
"350","Investigation Opened","2/4/2022 7:26:40 AM"
"351","Court Hearing","11/6/2024 5:26:40 AM"
"352","Resolution Closed","9/16/2025 7:26:40 PM"
"353","Citizen Birth","7/29/2017 6:26:40 AM"
"354","NIDA Issued","3/21/2017 2:26:40 AM"
"355","License Issued","10/3/2022 4:26:40 AM"
"356","Vehicle Purchase","9/6/2023 12:26:40 PM"
"357","Insurance Activated","8/24/2023 11:26:40 PM"
"358","Fine Issued","5/26/2020 8:26:40 PM"
"359","Payment Attempted","2/5/2019 6:26:40 AM"
"360","Accident Logged","5/22/2026 12:26:40 PM"
"361","Investigation Opened","5/28/2018 1:26:40 PM"
"362","Court Hearing","7/13/2019 12:26:40 AM"
"363","Resolution Closed","1/10/2024 12:26:40 AM"
"364","Citizen Birth","7/5/2017 3:26:40 PM"
"365","NIDA Issued","6/10/2025 5:26:40 PM"
"366","License Issued","7/23/2024 7:26:40 PM"
"367","Vehicle Purchase","9/15/2016 6:26:40 PM"
"368","Insurance Activated","8/18/2021 2:26:40 PM"
"369","Fine Issued","1/14/2018 12:26:40 PM"
"370","Payment Attempted","8/4/2020 4:26:40 AM"
"371","Accident Logged","8/5/2024 8:26:40 PM"
"372","Investigation Opened","3/7/2025 5:26:40 PM"
"373","Court Hearing","10/13/2020 12:26:40 AM"
"374","Resolution Closed","3/31/2021 3:26:40 AM"
"375","Citizen Birth","11/6/2022 11:26:40 PM"
"376","NIDA Issued","1/22/2022 6:26:40 PM"
"377","License Issued","10/29/2021 6:26:40 PM"
"378","Vehicle Purchase","12/25/2023 12:26:40 AM"
"379","Insurance Activated","3/10/2022 3:26:40 PM"
"380","Fine Issued","5/22/2023 8:26:40 PM"
"381","Payment Attempted","6/22/2024 4:26:40 AM"
"382","Accident Logged","10/9/2024 2:26:40 PM"
"383","Investigation Opened","8/14/2016 3:26:40 PM"
"384","Court Hearing","11/10/2017 4:26:40 PM"
"385","Resolution Closed","5/27/2017 12:26:40 PM"
"386","Citizen Birth","11/20/2019 12:26:40 PM"
"387","NIDA Issued","4/19/2021 1:26:40 PM"
"388","License Issued","1/13/2020 1:26:40 AM"
"389","Vehicle Purchase","8/1/2019 7:26:40 AM"
"390","Insurance Activated","9/23/2018 11:26:40 AM"
"391","Fine Issued","3/4/2018 4:26:40 PM"
"392","Payment Attempted","10/11/2022 3:26:40 PM"
"393","Accident Logged","9/25/2024 6:26:40 PM"
"394","Investigation Opened","6/22/2025 11:26:40 PM"
"395","Court Hearing","3/22/2023 5:26:40 AM"
"396","Resolution Closed","4/21/2023 6:26:40 AM"
"397","Citizen Birth","12/18/2020 7:26:40 AM"
"398","NIDA Issued","10/9/2016 8:26:40 AM"
"399","License Issued","2/25/2023 11:26:40 PM"
"400","Vehicle Purchase","3/15/2020 12:26:40 PM"
"401","Insurance Activated","10/27/2021 1:26:40 PM"
"402","Fine Issued","5/29/2023 8:26:40 PM"
"403","Payment Attempted","6/1/2019 7:26:40 PM"
"404","Accident Logged","9/28/2025 5:26:40 PM"
"405","Investigation Opened","1/20/2017 10:26:40 AM"
"406","Court Hearing","2/16/2020 12:26:40 AM"
"407","Resolution Closed","2/5/2017 11:26:40 PM"
"408","Citizen Birth","8/9/2019 8:26:40 PM"
"409","NIDA Issued","6/5/2018 10:26:40 PM"
"410","License Issued","11/1/2020 11:26:40 PM"
"411","Vehicle Purchase","7/7/2020 9:26:40 PM"
"412","Insurance Activated","11/3/2022 2:26:40 PM"
"413","Fine Issued","3/23/2021 8:26:40 PM"
"414","Payment Attempted","5/25/2023 9:26:40 PM"
"415","Accident Logged","1/1/2018 5:26:40 PM"
"416","Investigation Opened","12/9/2016 1:26:40 AM"
"417","Court Hearing","2/13/2022 11:26:40 AM"
"418","Resolution Closed","2/20/2022 8:26:40 AM"
"419","Citizen Birth","11/27/2022 12:26:40 PM"
"420","NIDA Issued","5/6/2026 6:26:40 PM"
"421","License Issued","5/22/2021 9:26:40 PM"
"422","Vehicle Purchase","3/9/2022 11:26:40 PM"
"423","Insurance Activated","6/3/2021 9:26:40 AM"
"424","Fine Issued","9/24/2024 5:26:40 AM"
"425","Payment Attempted","10/30/2022 10:26:40 PM"
"426","Accident Logged","7/31/2024 11:26:40 AM"
"427","Investigation Opened","5/25/2018 3:26:40 AM"
"428","Court Hearing","11/20/2023 9:26:40 AM"
"429","Resolution Closed","12/16/2021 7:26:40 PM"
"430","Citizen Birth","9/19/2016 4:26:40 AM"
"431","NIDA Issued","12/2/2023 6:26:40 PM"
"432","License Issued","9/6/2018 1:26:40 AM"
"433","Vehicle Purchase","7/31/2016 1:26:40 AM"
"434","Insurance Activated","5/13/2017 8:26:40 AM"
"435","Fine Issued","11/28/2016 4:26:40 PM"
"436","Payment Attempted","11/12/2024 10:26:40 AM"
"437","Accident Logged","4/13/2022 9:26:40 AM"
"438","Investigation Opened","9/17/2017 5:26:40 AM"
"439","Court Hearing","1/17/2026 9:26:40 AM"
"440","Resolution Closed","1/19/2024 7:26:40 PM"
"441","Citizen Birth","12/10/2022 5:26:40 AM"
"442","NIDA Issued","8/25/2025 11:26:40 PM"
"443","License Issued","1/21/2022 7:26:40 AM"
"444","Vehicle Purchase","7/29/2021 4:26:40 AM"
"445","Insurance Activated","1/19/2020 10:26:40 PM"
"446","Fine Issued","1/10/2021 1:26:40 PM"
"447","Payment Attempted","9/29/2017 12:26:40 PM"
"448","Accident Logged","2/10/2023 11:26:40 AM"
"449","Investigation Opened","9/29/2019 5:26:40 AM"
"450","Court Hearing","10/1/2022 4:26:40 AM"
"451","Resolution Closed","1/29/2026 5:26:40 AM"
"452","Citizen Birth","8/14/2024 4:26:40 PM"
"453","NIDA Issued","9/27/2023 3:26:40 AM"
"454","License Issued","11/9/2021 12:26:40 PM"
"455","Vehicle Purchase","1/6/2023 5:26:40 AM"
"456","Insurance Activated","2/25/2017 9:26:40 PM"
"457","Fine Issued","7/1/2023 11:26:40 PM"
"458","Payment Attempted","6/3/2018 6:26:40 AM"
"459","Accident Logged","3/23/2021 11:26:40 PM"
"460","Investigation Opened","12/24/2017 10:26:40 AM"
"461","Court Hearing","3/14/2018 3:26:40 PM"
"462","Resolution Closed","9/22/2022 8:26:40 PM"
"463","Citizen Birth","3/16/2025 12:26:40 AM"
"464","NIDA Issued","11/2/2025 7:26:40 PM"
"465","License Issued","4/21/2020 9:26:40 AM"
"466","Vehicle Purchase","12/22/2021 10:26:40 AM"
"467","Insurance Activated","5/21/2020 7:26:40 AM"
"468","Fine Issued","4/28/2021 3:26:40 AM"
"469","Payment Attempted","11/10/2016 11:26:40 PM"
"470","Accident Logged","4/10/2025 4:26:40 AM"
"471","Investigation Opened","7/20/2020 5:26:40 PM"
"472","Court Hearing","1/2/2018 8:26:40 PM"
"473","Resolution Closed","5/27/2021 6:26:40 AM"
"474","Citizen Birth","6/22/2021 9:26:40 PM"
"475","NIDA Issued","3/11/2026 3:26:40 AM"
"476","License Issued","11/26/2022 1:26:40 AM"
"477","Vehicle Purchase","10/16/2023 10:26:40 PM"
"478","Insurance Activated","1/25/2023 12:26:40 AM"
"479","Fine Issued","11/6/2018 4:26:40 PM"
"480","Payment Attempted","1/2/2021 10:26:40 AM"
"481","Accident Logged","10/8/2024 11:26:40 AM"
"482","Investigation Opened","4/14/2024 12:26:40 AM"
"483","Court Hearing","10/25/2019 8:26:40 AM"
"484","Resolution Closed","1/24/2018 3:26:40 AM"
"485","Citizen Birth","8/10/2017 6:26:40 PM"
"486","NIDA Issued","3/13/2025 5:26:40 AM"
"487","License Issued","1/2/2024 5:26:40 PM"
"488","Vehicle Purchase","3/27/2023 4:26:40 AM"
"489","Insurance Activated","12/15/2017 12:26:40 PM"
"490","Fine Issued","7/30/2016 7:26:40 AM"
"491","Payment Attempted","1/16/2018 6:26:40 PM"
"492","Accident Logged","2/5/2021 11:26:40 PM"
"493","Investigation Opened","4/19/2020 5:26:40 AM"
"494","Court Hearing","2/9/2020 5:26:40 AM"
"495","Resolution Closed","5/5/2019 4:26:40 AM"
"496","Citizen Birth","2/20/2022 2:26:40 AM"
"497","NIDA Issued","1/20/2018 4:26:40 AM"
"498","License Issued","4/12/2026 3:26:40 PM"
"499","Vehicle Purchase","4/24/2022 9:26:40 PM"
"500","Insurance Activated","1/25/2018 9:26:40 PM"
"501","Fine Issued","2/22/2024 2:26:40 AM"
"502","Payment Attempted","10/28/2020 10:26:40 PM"
"503","Accident Logged","6/22/2025 3:26:40 AM"
"504","Investigation Opened","1/24/2026 6:26:40 PM"
"505","Court Hearing","5/7/2025 5:26:40 AM"
